Sample	Total_reads	Uniq_Rate	Multi_Rate	Unmap_Rate
R1	43524087	78.26	13.22	 8.52
R2	42648752	78.42	13.65	 7.93
R3	44514457	77.70	13.11	 9.19
R4	41609509	78.81	13.32	 7.87
R5	34314210	77.26	13.30	 9.44
R6	41400550	79.67	12.62	 7.71
R7	39405548	81.86	12.02	 6.12
R8	46481525	82.50	12.57	 4.93
R9	42081074	82.12	11.84	 6.04
R10	47368266	82.36	12.56	 5.08
R11	39710287	79.90	12.40	 7.70
R12	41676367	81.74	12.08	 6.18
